country,city,latitude,longitude,temp,temp_min,temp_max,pressure,humidity,sea_level,ground_level,wind_speed,wind_degree,sunrise,sunset,timezone,cloud,description,region,population,date
NG,Ankpa,7.38,7.65,311.93,311.93,311.93,1006,28,1006,964,0.44,34,2024-02-21 05:45:30,2024-02-21 17:41:02,3600,56,Clouds,Kogi,56362,2024-02-21
NG,Bugana,7.87,7.51,313.1,313.1,313.1,1006,29,1006,993,1.86,35,2024-02-21 05:46:26,2024-02-21 17:41:13,3600,46,Clouds,Kogi,11026,2024-02-21
NG,Adoru,7.17,7.04,311.61,311.61,311.61,1006,34,1006,993,1.78,211,2024-02-21 05:47:47,2024-02-21 17:43:38,3600,43,Clouds,Kogi,12230,2024-02-21
NG,Ankpa,7.32,7.67,312.75,312.75,312.75,1006,28,1006,974,0.35,45,2024-02-21 05:45:22,2024-02-21 17:41:00,3600,60,Clouds,Kogi,12470,2024-02-21
NG,Abocho,7.57,6.99,310.25,310.25,310.25,1006,33,1006,961,1.63,219,2024-02-21 05:48:17,2024-02-21 17:43:31,3600,40,Clouds,Kogi,13261,2024-02-21
NG,Illushi,6.81,6.64,313.08,313.08,313.08,1006,33,1006,1002,1.11,136,2024-02-21 05:49:06,2024-02-21 17:45:30,3600,57,Clouds,Kogi,7040,2024-02-21
NG,Abocho,7.51,7.31,311.43,311.43,311.43,1006,29,1006,965,1.47,225,2024-02-21 05:46:58,2024-02-21 17:42:17,3600,51,Clouds,Kogi,13261,2024-02-21
NG,Buga,8.41,7.0,314.13,314.13,314.13,1006,27,1006,986,0.84,214,2024-02-21 05:48:53,2024-02-21 17:42:50,3600,37,Clouds,Kogi,5864,2024-02-21
NG,Ogaminana,7.58,6.18,311.01,311.01,311.01,1006,29,1006,957,0.88,233,2024-02-21 05:51:32,2024-02-21 17:46:45,3600,70,Clouds,Kogi,280024,2024-02-21
NG,Ete,7.3,7.34,312.16,312.16,312.16,1006,31,1006,986,1.74,236,2024-02-21 05:46:41,2024-02-21 17:42:20,3600,56,Clouds,Kogi,10641,2024-02-21
